hand,.thisRepN,.thisTrialN,.thisN,.thisIndex,block,correctResp,setLevel,userResp,RT,evaluation,subjectID,age,date,experiment_type,
"[<set_utils.cards.Card object at 0x139cd7d30>, <set_utils.cards.Card object at 0x139cd7e50>, <set_utils.cards.Card object at 0x139cd7b80>]",0,26,26,40,2,True,1,True,1.6662630902137607,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7df0>, <set_utils.cards.Card object at 0x139cd7e50>, <set_utils.cards.Card object at 0x139cd7eb0>]",0,27,27,45,2,False,,False,1.4466840790119022,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7b50>, <set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7b80>]",0,28,28,12,2,True,1,True,1.2988645168952644,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7d90>, <set_utils.cards.Card object at 0x139cd7b50>, <set_utils.cards.Card object at 0x139cd7eb0>]",0,29,29,22,2,True,1,True,3.134384260047227,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7eb0>, <set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7d30>]",0,30,30,17,2,True,2,True,2.396928614936769,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7d30>, <set_utils.cards.Card object at 0x139cd7f10>, <set_utils.cards.Card object at 0x139cd7d90>]",0,31,31,31,2,False,,False,1.4490468329750001,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7df0>, <set_utils.cards.Card object at 0x139cd7eb0>, <set_utils.cards.Card object at 0x139cd7e50>]",0,32,32,15,2,False,,False,1.1600120388902724,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7d90>, <set_utils.cards.Card object at 0x139cd7b50>, <set_utils.cards.Card object at 0x139cd7b80>]",0,33,33,5,2,False,,False,1.8988601791206747,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7b50>, <set_utils.cards.Card object at 0x139cd7d30>, <set_utils.cards.Card object at 0x139cd7f10>]",0,34,34,35,2,True,2,True,1.638674374902621,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7d90>, <set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7df0>]",0,35,35,41,2,False,,False,1.5324665028601885,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7df0>, <set_utils.cards.Card object at 0x139cd7b50>, <set_utils.cards.Card object at 0x139cd7d90>]",0,36,36,46,2,False,,False,1.7506560038309544,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7eb0>, <set_utils.cards.Card object at 0x139cd7b80>, <set_utils.cards.Card object at 0x139cd7df0>]",0,37,37,47,2,True,2,True,1.3936214079149067,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7b80>, <set_utils.cards.Card object at 0x139cd7d30>, <set_utils.cards.Card object at 0x139cd7df0>]",0,38,38,39,2,False,,False,0.9203593079000711,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7b50>, <set_utils.cards.Card object at 0x139cd7f10>, <set_utils.cards.Card object at 0x139cd7d90>]",0,39,39,23,2,False,,False,1.4445184159558266,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7b80>, <set_utils.cards.Card object at 0x139cd7d90>, <set_utils.cards.Card object at 0x139cd7f10>]",0,40,40,26,2,True,2,True,1.8943525459617376,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7df0>, <set_utils.cards.Card object at 0x139cd7eb0>, <set_utils.cards.Card object at 0x139cd7b50>]",0,41,41,33,2,False,,False,1.9108766759745777,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7b50>, <set_utils.cards.Card object at 0x139cd7b80>]",0,42,42,38,2,True,1,True,2.0873619550839067,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7df0>, <set_utils.cards.Card object at 0x139cd7eb0>, <set_utils.cards.Card object at 0x139cd7e50>]",0,43,43,14,2,False,,False,2.5900522801093757,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7eb0>, <set_utils.cards.Card object at 0x139cd7df0>, <set_utils.cards.Card object at 0x139cd7b80>]",0,44,44,9,2,True,2,True,2.8772692610509694,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7df0>, <set_utils.cards.Card object at 0x139cd7b50>, <set_utils.cards.Card object at 0x139cd7e50>]",0,45,45,3,2,True,2,True,3.579072924098,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7e50>, <set_utils.cards.Card object at 0x139cd7eb0>, <set_utils.cards.Card object at 0x139cd7f10>]",0,46,46,29,2,True,1,True,1.585582152940333,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7b80>, <set_utils.cards.Card object at 0x139cd7f10>, <set_utils.cards.Card object at 0x139cd7d90>]",0,47,47,30,2,True,2,True,2.158707305090502,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7b50>, <set_utils.cards.Card object at 0x139cd7d30>, <set_utils.cards.Card object at 0x139cd7f10>]",0,48,48,2,2,True,2,True,1.683923402801156,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7d30>, <set_utils.cards.Card object at 0x139cd7df0>, <set_utils.cards.Card object at 0x139cd7d90>]",0,49,49,6,2,True,1,True,2.328836537199095,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cdd130>, <set_utils.cards.Card object at 0x139cd7d90>, <set_utils.cards.Card object at 0x139cdd490>]",0,0,0,47,3,True,1,True,2.5375055889599025,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7df0>, <set_utils.cards.Card object at 0x139cdd430>, <set_utils.cards.Card object at 0x139cdd130>]",0,1,1,28,3,True,2,True,1.4792414400726557,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cdd2b0>, <set_utils.cards.Card object at 0x139cdd130>, <set_utils.cards.Card object at 0x139cd7f70>]",0,2,2,31,3,True,2,True,2.2697370108217,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cdd250>, <set_utils.cards.Card object at 0x139cdd370>, <set_utils.cards.Card object at 0x139cd7d30>]",0,3,3,41,3,False,,True,1.2989102210849524,incorrect,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cdd190>, <set_utils.cards.Card object at 0x139cdd550>, <set_utils.cards.Card object at 0x139cdd310>]",0,4,4,27,3,False,,False,1.4667827859520912,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cdd250>, <set_utils.cards.Card object at 0x139cdd550>, <set_utils.cards.Card object at 0x139cd7f70>]",0,5,5,13,3,False,,False,4.645975190913305,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7e50>, <set_utils.cards.Card object at 0x139cdd2b0>, <set_utils.cards.Card object at 0x139cd7d90>]",0,6,6,1,3,False,,True,3.1437245251145214,incorrect,JW,24,2023-07-27_12h39.32.055,Standard,
